HLADNOKRVNIJE, PRILOG
NESVAKODNEVAN, PRIDJEV
KTI, KRATICA
EPSTEIN-BARROV, PRIDJEV
MUZIKALNOST, IMENICA
FASCINANTAN, PRIDJEV
BIOSPELEOLOGIJA, IMENICA
FL, KRATICA
SUMABILNOST, IMENICA
ZABRANJUJUĆI, PRIDJEV
M, IMENICA
MAGNEZIJ-DIBORID, IMENICA
DIJABOLIZIRANJE, IMENICA
MIKROPUNILO, IMENICA
LIMFNO-VASKULARNI, PRIDJEV
DALEKOVIDNOST, IMENICA
ZASTRAŠIVAN, PRIDJEV
HIPERSTIMULIRAN, IMENICA
NAJSKIJAŠKIJI, PRIDJEV
RADIOGRAFIJA, IMENICA
IZVANINSTITUCIJSKI, PRIDJEV
REZERVACIJA, IMENICA
RASPOLOVLJEN, PRIDJEV
DENDIJEVSKI, PRIDJEV
TAF, IMENICA
NAJNETRPELJIVIJI, PRIDJEV
PROGONITELJSKI, PRIDJEV
NANOPROPUŠTANJE, IMENICA
HEMODIJAFILTRACIJA, IMENICA
MONOANDRIJA, IMENICA
MEMORABILIJ, IMENICA
OCJEĐIVANJE, IMENICA
PRIKLJUČIVŠI, PRILOG
UZD, IMENICA
RENORMALIZACIJA, IMENICA
FLUORIDACIJA, IMENICA
PREKOSTOJNICA, IMENICA
URDA, IMENICA
ASEMBLERSKI, PRIDJEV
NEIZRUČIVATI, GLAGOL
KVADRIPLEGIJA, IMENICA
UKOR, IMENICA
HORTIKULTURNI, PRIDJEV
NEREGULARAN, PRIDJEV
KVAZISTATIČNI, PRIDJEV
DATI, GLAGOL
NEINVENTIVAN, PRIDJEV
STRELIMIČAN, PRIDJEV
NAJPROČIŠĆENIJI, PRIDJEV
PODSTICANJE, IMENICA
BIOSIROVINA, IMENICA
NERELIGIOZAN, PRIDJEV
POŠTOVANOST, IMENICA
PROSIJAVATI, GLAGOL
OBVEZATNOST, IMENICA
SUZDRŽLJIVOST, IMENICA
USPALJENIJI, PRIDJEV
NENAPLATIVA, PRIDJEV
SCEN, IMENICA
ZAPREPAŠĆIVATI, GLAGOL
NAJFRIVOLNIJI, PRIDJEV
ESPERANTSKI, PRIDJEV
STERILIZIRATI, GLAGOL
TELEPRINTER, IMENICA
KATRANIRANI, PRIDJEV
PODGUVERNER, IMENICA
KROPIONICITI, GLAGOL
GETOIZACIJA, IMENICA
REKOMBINIRANI, PRIDJEV
PROPOZICIJSKI, PRIDJEV
OPV, KRATICA
TAKING-OVER, IMENICA
ELEKTRODIJAGNOSTIKA, IMENICA
HERCEGOVKINUTI, GLAGOL
KONFERIRAJUĆI, PRIDJEV
TELE, IMENICA
ELEKTROMIOGRAFIJA, IMENICA
LAKI, PRIDJEV
JOSIPOVAČKI, PRIDJEV
PREKATEGORIZACIJA, IMENICA
HR, KRATICA
SAMOKAŽNJAVANJE, IMENICA
GLAVINJANJE, IMENICA
SUUPRAVITELJ, IMENICA
NASRTLJIVAC, IMENICA
KOMUNICIRAJUĆI, PRIDJEV
GRAFO-ANALITIČKI, PRIDJEV
FNRJ, KRATICA
INTELEKTUALNI, PRIDJEV
NEZASITLJIV, PRIDJEV
VENTILIRAJUĆI, PRIDJEV
RASPALJENIJI, PRIDJEV
ORTOFOTOGRAFIJA, IMENICA
HFP, IMENICA
FIGURATIVNOST, IMENICA
ORNITOFAUNA, IMENICA
REZULTANTNI, PRIDJEV
KONTINENTALIZAM, IMENICA
DVOVALENTAN, PRIDJEV
NEELEKTRIČAN, PRIDJEV
STRUKTURNO-FUNKCIONALNI, PRIDJEV
IZVODITELJSKI, PRIDJEV
NEZADOVOLJEN, PRIDJEV
EGP, KRATICA
NEPOUZDANJE, IMENICA
NAGOMILAVATI, GLAGOL
HOMOGENIZATOR, IMENICA
OBUT, PRIDJEV
INTELIGENCIJA, IMENICA
TOGO, IMENICA
TEMPORIZIRATI, GLAGOL
OŽIVOTVOREN, PRIDJEV
FARMAKOVIGILANCIJA, IMENICA
NEPLATINIRANI, PRIDJEV
KOMEDIOGRAF, IMENICA
USNOPLJIVANJE, IMENICA
SENZIBILIZATOR, IMENICA
NAJKOMPARATIVNIJI, PRIDJEV
NEPRIHVAĆEN, PRIDJEV
POKORAVANJE, IMENICA
SPIZ, IMENICA
ČAS, IMENICA
OBJAŠNJAVAJUĆI, PRILOG
IZJEDNAČAVATI, GLAGOL
ŽENA, IMENICA
NADOMJESTIVŠI, PRILOG
NAJNAPADANIJI, PRIDJEV
REINTEGRIRAVŠI, PRILOG
SUSTRUČNJAK, IMENICA
IRITANTNIJI, PRIDJEV
RASKRVAVITI, GLAGOL
ODCJEPLJENJE, IMENICA
NAJARISTOKRATSKIJI, PRIDJEV
SJEVERO-SJEVEROZAPADNO, PRILOG
NAVODNJAVANJE, IMENICA
VIDEO-FORMAT, IMENICA
INVENTIVNOST, IMENICA
BABOGREDSKI, PRIDJEV
PRISTUPLJEN, IMENICA
ŽELJEZARSKI, PRIDJEV
KARTOGRAFIJSKI, PRIDJEV
NEOČEKIVANOST, IMENICA
BIO-SIGURNOSNI, PRIDJEV
PODVOSTRUČITI, GLAGOL
AUTOMATIZIRANO, PRILOG
VINIFIKACIJA, IMENICA
ZABLIJEŠTEN, PRIDJEV
SUPSIDIJARAN, PRIDJEV
SLJUBLJIVANJE, IMENICA
FRAKCIONIRATI, IMENICA
DC, KRATICA
FINALIZIRANJE, IMENICA
DEMONJUĆIRAJUĆI, PRILOG
ALFA-CIPERMETRIN, IMENICA
PJESNIČARENJE, IMENICA
KOMEMORACIJA, IMENICA
MAGNETOOTPOR, IMENICA
POLUAPSORPCIJA, IMENICA
ANTITERORISTIČKI, PRIDJEV
PRESLAGIVANJE, IMENICA
FOTOEMISIJSKI, PRIDJEV
DOLIHOCEFALIJA, IMENICA
ČEK-LISTA, IMENICA
PROIZVODNJA, IMENICA
