NABREKNUO, PRIDJEV
PRIVJESKI, PRIDJEV
IZROVAVŠI, PRILOG
LOPTOMJER, IMENICA
PREPILITI, GLAGOL
BUJIČNJAK, IMENICA
KONCESIJA, IMENICA
KRZNARIJA, IMENICA
ARILENSKI, PRIDJEV
SPAHIJSKI, PRIDJEV
NAPUTIVŠI, IMENICA
BILINSTVO, IMENICA
NEVAŽENJE, IMENICA
OKTROIRAN, PRIDJEV
ČIZMARIJA, IMENICA
ABONIRATI, GLAGOL
MJEŠTANIN, IMENICA
UPIKNUVŠI, PRILOG
UDALJENJE, IMENICA
POLOVIČAN, PRIDJEV
BAČVARICA, IMENICA
USPAVANJE, IMENICA
DASKAJUĆI, PRILOG
VERONEŠKI, PRIDJEV
FERIJALAN, PRIDJEV
OTIPKAVŠI, PRILOG
NAGLUHOST, IMENICA
OSLOBAĐAN, PRIDJEV
OBASJANJE, IMENICA
INHIBITOR, IMENICA
PLJUŠTATI, GLAGOL
NEPODESAN, PRIDJEV
VERSAJSKI, PRIDJEV
NEDONOŠĆE, IMENICA
DAROVNICA, IMENICA
ORFEUMSKI, PRIDJEV
NEDONOŽAC, IMENICA
HEREŠINAC, IMENICA
NADJEVAČA, IMENICA
DVOSTRANI, PRIDJEV
USUĐIVATI, GLAGOL
ZAKLONITI, GLAGOL
OBOLJENJE, IMENICA
PRISLUŠAN, PRIDJEV
INCIZALNI, PRIDJEV
MLAĐARIJA, IMENICA
PRIPIJATI, GLAGOL
OBUZETOST, IMENICA
NAPUCAVAN, PRIDJEV
STRATEŽAK, PRIDJEV
LUBENIČAR, IMENICA
GLADNJETI, GLAGOL
JEZERAČKI, PRIDJEV
POLOVNJAK, IMENICA
PRERUŠITI, GLAGOL
LJUBIČICA, IMENICA
SIMETRIJA, IMENICA
TRAŽILICA, IMENICA
KAHEKSIJA, IMENICA
MARKANTAN, PRIDJEV
SLUGANSKI, PRIDJEV
UPUĆUJUĆI, PRIDJEV
NEISCRPIV, PRIDJEV
NADODAVAN, PRIDJEV
ISPITIVAN, PRIDJEV
PREDANIJI, PRIDJEV
LOGARITMA, IMENICA
UZASTOPNO, PRILOG
PAPIRNICA, IMENICA
CAVENDISH, IMENICA
NAVIJAČKI, PRIDJEV
POKRPANJE, IMENICA
DINASTIJA, IMENICA
TRIHINOZA, IMENICA
FOSFONSKI, PRIDJEV
NASLIJEĐE, IMENICA
BAŽDARSKI, PRIDJEV
VONJAJUĆI, GLAGOL
PRSOBOLJA, IMENICA
KOČOPERAN, PRIDJEV
SENZORSKI, PRIDJEV
AMBALAŽNI, PRIDJEV
UBACIVATI, GLAGOL
ARAGONSKI, PRIDJEV
HRVAČANIN, IMENICA
BENIOFFOV, PRIDJEV
JABUČARKA, IMENICA
SKLADANJE, IMENICA
KOŠKAJUĆI, GLAGOL
PALPACIJI, IMENICA
OBAMRLITI, GLAGOL
ŽIVLJENJE, IMENICA
ZAGRIZNIK, IMENICA
KOLIMATOR, IMENICA
SAMOPOMOĆ, IMENICA
GOBLENSKI, PRIDJEV
KRIJESNIK, IMENICA
BRAMANSKI, PRIDJEV
ČEPRLJATI, GLAGOL
NIZOZEMAC, IMENICA
POSLUŠATI, GLAGOL
DISUAZIJA, IMENICA
LEGALNOST, IMENICA
SUKRALOZA, IMENICA
KATALOŽNI, PRIDJEV
NASKOČITI, GLAGOL
DUHOVNICA, IMENICA
JEDNOSLOJ, IMENICA
RASPONICA, IMENICA
BILABIJAL, IMENICA
LOGIRANJE, IMENICA
EMPATIČKI, PRIDJEV
KOLOTURNI, PRIDJEV
OPSCENIJI, PRIDJEV
ISKUŠAVAN, PRIDJEV
NEZAGAĐEN, PRIDJEV
GROZOVITO, PRILOG
IZBLJUVAN, PRIDJEV
NATUCANJE, IMENICA
PREKALITI, GLAGOL
STEZALJKA, IMENICA
POZAPAĐEN, PRIDJEV
PREMAZATI, GLAGOL
OPTJECATI, GLAGOL
KRIČAVOST, IMENICA
SESVETSKI, PRIDJEV
IZDIGNUĆE, IMENICA
SPASITELJ, IMENICA
NESTRUČNO, PRILOG
RIĐOGLAVI, PRIDJEV
POLOŽAJNI, PRIDJEV
PREDJEVNI, IMENICA
PARKERICA, IMENICA
NAMRGOĐEN, PRIDJEV
DISPROZIJ, IMENICA
KLOKOTATI, GLAGOL
ŠUKUNDJED, IMENICA
KRISTOFOR, IMENICA
VOJISLAVA, IMENICA
POTRGAVŠI, PRILOG
INVERZIJA, IMENICA
NITRACIJA, IMENICA
LOMLJENJI, PRIDJEV
ZELOTIZAM, IMENICA
PORUGLJIV, PRIDJEV
SILAJDŽIĆ, IMENICA
